GPU Memory Track | 06-Jun-22-15:40:23 | Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb


At JTVAE/fast_molvae/jtnnvae_train.py line 76: <module> Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb

+ | 1 * Size:(450, 40)            | Memory: 0.0686 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(28,)                | Memory: 0.0004 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 2 * Size:(450, 510)           | Memory: 1.7509 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(1,)                 | Memory: 3.8146 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 3 * Size:(450, 900)           | Memory: 4.6348 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 3 * Size:(450, 932)           | Memory: 4.7996 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 12 * Size:(450,)               | Memory: 0.0205 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(450, 82)            | Memory: 0.1407 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(450, 521)           | Memory: 0.8943 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(450, 60)            | Memory: 0.1029 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(1, 450)             | Memory: 0.0017 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 5 * Size:(450, 450)           | Memory: 3.8623 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(28, 450)            | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(859,)               | Memory: 0.0032 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 3 * Size:(859, 450)           | Memory: 4.4237 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(450, 485)           | Memory: 0.8325 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(450, 482)           | Memory: 0.8274 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At JTVAE/fast_molvae/jtnnvae_train.py line 80: <module> Total Tensor Used Memory:22.6   Mb Total Allocated Memory:22.6   Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:22.6   Mb Total Allocated Memory:22.6   Mb

+ | 1 * Size:(2000,)              | Memory: 0.0152 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(500, 932)           | Memory: 1.7776 M | <class 'torch.Tensor'> | torch.float32
+ | 19 * Size:(2811,)              | Memory: 0.4074 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(937, 1)             | Memory: 0.0035 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(500,)               | Memory: 0.0038 M | <class 'torch.Tensor'> | torch.int64
+ | 39 * Size:(937, 3, 450)        | Memory: 188.19 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(937,)               | Memory: 0.0142 M | <class 'torch.Tensor'> | torch.int64
+ | 40 * Size:(937, 932)           | Memory: 133.25 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(937, 482)           | Memory: 3.4456 M | <class 'torch.Tensor'> | torch.float32
+ | 20 * Size:(2811, 450)          | Memory: 96.508 M | <class 'torch.Tensor'> | torch.float32
+ | 44 * Size:(450,)               | Memory: 0.0755 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(937, 3)             | Memory: 0.0214 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(937, 450)           | Memory: 128.67 M | <class 'torch.Tensor'> | torch.float32
+ | 44 * Size:(450,)               | Memory: 0.0755 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(500, 4)             | Memory: 0.0152 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(500, 450)           | Memory: 0.8583 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 12 * Size:(450,)               | Memory: 0.0205 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:575.9  Mb Total Allocated Memory:497.0  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:575.9  Mb Total Allocated Memory:497.0  Mb

+ | 1 * Size:(1705, 82)           | Memory: 0.5333 M | <class 'torch.Tensor'> | torch.float32
